entry_threshold,stop_loss_pct,take_profit_pct,min_confidence,sharpe,max_dd_pct,total_ret_pct,n_trades
0.12,0.05,0.1,0.5,0.6372356598828113,-73.36087807830785,-28.664669528606346,503
0.08,0.05,0.06,0.4,0.6368148411609115,-78.79958581412725,-61.171929021418194,795
0.16,0.03,0.08,0.4,0.636705462312361,-67.81980795151198,-4.0783965186834354,509
0.16,0.03,0.1,0.45,0.6362074743178987,-70.58684964345858,-5.721267575879818,454
0.08,0.05,0.04,0.4,0.6338737915934399,-81.04505019466595,-64.29743035282547,899
0.08,0.04,0.1,0.4,0.633300381881035,-78.64220626792002,-59.7746652378218,746
0.14,0.04,0.1,0.4,0.6326902062948179,-73.12365627203829,-8.256700303035934,483
0.08,0.04,0.04,0.4,0.6311299451150342,-83.20128750036093,-69.46564435068292,957
0.08,0.03,0.08,0.4,0.6300019893790512,-77.20445604003659,-60.909496179640186,819
0.14,0.03,0.1,0.45,0.6299026907765943,-72.45916683499931,-3.723927890764722,527
0.14,0.03,0.12,0.45,0.6297739747880239,-72.69801147984226,-4.381282107888107,520
0.14,0.05,0.08,0.45,0.6296537777046795,-73.56575769046356,-10.992352808919803,493
0.12,0.03,0.1,0.5,0.6286776207071998,-67.54779235769212,-36.02006691036036,580
0.12,0.05,0.08,0.5,0.6280304325761933,-73.9426758934402,-32.88168431780658,529
0.16,0.05,0.08,0.45,0.6272665453359171,-68.90584966102067,-5.1548177358929586,443
0.16,0.04,0.1,0.45,0.6270755975282801,-69.97019950824938,-3.6246115578959737,433
0.14,0.05,0.12,0.4,0.6246051186512389,-68.31366873090236,-10.210735116676384,452
0.16,0.03,0.1,0.4,0.6235913880114877,-69.4019220120146,-2.3567713339405882,460
0.16,0.04,0.08,0.4,0.6227638326247212,-67.82976477445051,-3.9994554985426034,477
0.08,0.04,0.12,0.4,0.6218721097318941,-78.26529252474326,-57.789090070382244,738
0.14,0.04,0.12,0.45,0.6205732929669905,-73.4457976311339,-5.117390300573255,472
0.12,0.04,0.06,0.5,0.6193238301790985,-74.55380842767421,-46.23192511339268,606
0.16,0.03,0.12,0.45,0.6188663169308398,-70.7929213272113,-5.514254228894133,444
0.12,0.04,0.12,0.5,0.6171430348904461,-71.76757336801089,-36.04925056977887,513
0.14,0.04,0.1,0.45,0.6169096902641774,-73.69412241059008,-5.429424557642825,483
0.16,0.05,0.1,0.45,0.6164563702009989,-70.5324858930578,-3.744103194250903,411
0.14,0.04,0.12,0.4,0.6163143480426856,-69.09537994649675,-5.866604238899365,476
0.16,0.05,0.12,0.45,0.614026449352015,-70.78792892709063,-3.0243388745640254,400
0.16,0.04,0.12,0.45,0.6138991852798652,-70.2083683259088,-2.5589054285256263,414
0.14,0.05,0.1,0.45,0.6138390326987946,-72.4660859448903,-4.793649662412602,458
0.16,0.04,0.1,0.4,0.6137482618500734,-69.48363745995815,-2.043485769186071,438
0.14,0.05,0.12,0.45,0.6130104983261078,-70.80892983185535,-3.5891675157190717,448
0.12,0.04,0.1,0.5,0.6129157646371846,-69.50626184202704,-37.860434268486046,537
0.08,0.05,0.1,0.4,0.6115411380345481,-77.76128971709542,-60.18184062989212,718
0.14,0.04,0.1,0.5,0.6102494599621713,-73.43074098347951,-9.137177706688304,476
0.14,0.03,0.1,0.5,0.610108223872257,-73.5997617946849,-8.39655950655126,516
0.14,0.05,0.1,0.5,0.6072826207897594,-72.87608043802794,-0.7122391812323325,440
0.16,0.04,0.12,0.4,0.6072448365149725,-69.72180627761759,-0.8932128725400279,421
0.12,0.03,0.08,0.5,0.6056989485626468,-70.2534326859393,-45.217761767521914,616
0.16,0.03,0.12,0.4,0.6055746520561394,-69.60799369576732,-1.667106159703502,447
0.16,0.05,0.08,0.4,0.6019461137049736,-68.21605209572354,-2.754147728041867,451
0.14,0.03,0.12,0.5,0.6015166048378628,-72.80646379492613,-7.45017491265727,500
0.18,0.03,0.04,0.45,0.6011452784710467,-78.24962687415905,-18.389593256741254,503
0.14,0.04,0.12,0.5,0.6011087273777961,-72.73633659574715,-7.429604140547175,451
0.18,0.05,0.04,0.5,0.6001346961090696,-75.61935441168991,-18.136859542360607,412
0.12,0.04,0.08,0.5,0.5978328829041129,-73.64008498128604,-42.061290440787204,563
0.08,0.05,0.08,0.4,0.5975582329945436,-75.2719317649279,-61.269332868232716,741
0.16,0.05,0.1,0.4,0.5971611361648308,-69.8426883277607,-1.7728508497527495,415
0.08,0.05,0.12,0.4,0.5965831734349816,-77.46210651625601,-59.02053774273999,708
0.18,0.04,0.04,0.5,0.5949964101287449,-74.44687390509863,-18.12103505389857,431
0.16,0.05,0.12,0.4,0.58856365115294,-70.09813136179352,-1.9725589380086284,406
0.18,0.03,0.04,0.5,0.5848842049558189,-77.98244828339213,-19.2245219874262,471
